s,a,r,sp
68602,1,0,38945
38302,0,0,79455
54376,1,0,19767
26555,1,0,47161
83919,1,0,89928
46279,1,0,32755
79455,0,0,90135
19741,0,0,88558
81981,0,0,86971
17935,1,0,69144
20499,0,0,66432
69585,0,-1,54020
84018,0,0,99021
17368,0,-1,51561
20911,0,0,87694
58861,0,-1,14867
17767,0,0,66603
52728,0,-1,4086
58938,1,0,45633
28638,1,0,60831
37378,0,0,22780
41192,0,0,60974
82204,1,0,4565
60916,1,0,31040
31353,1,0,95302
22780,0,-1,83858
48230,0,0,72303
13323,1,0,64359
74413,0,0,73176
60597,0,0,28166
60198,0,-1,66320
80431,0,0,2453
94965,2,0,84888
18470,0,-1,19074
69688,0,-1,13810
38062,0,0,92937
66511,1,0,46792
2465,0,0,87717
74644,1,0,56536
2529,1,0,73774
92937,0,0,73530
39139,1,0,60137
80064,0,-1,95491
16256,0,0,93950
76269,1,0,90127
53313,0,-1,55252
1322,1,0,31508
55932,0,0,45283
93410,0,0,78230
31508,0,0,65327
45283,0,0,84151
78230,0,-1,81977
74735,0,-1,61637
41717,1,0,28412
72530,1,0,43610
81270,1,0,46661
69801,0,0,80402
99026,1,0,86623
2538,1,0,77365
43289,0,0,37335
93450,0,0,12938
43348,0,0,18216
17935,1,0,69144
20499,0,0,66432
37335,0,0,90953
12938,0,-1,23673
60198,0,-1,66320
80431,0,0,2453
73620,0,-1,88466
68753,0,0,8046
2416,0,-1,99071
34539,0,0,15764
7762,1,0,39955
16502,1,0,43006
88681,1,0,70400
46045,0,0,12606
92699,0,-1,62717
30416,1,0,28599
45166,1,0,95243
15546,0,0,20587
1146,0,0,79424
41526,0,0,9095
30878,1,0,3160
82647,0,-1,57796
46274,0,0,81295
26298,0,-1,18466
46939,0,0,84378
90447,0,0,98678
84378,0,-1,33065
41717,1,0,28412
72530,1,0,43610
81270,1,0,46661
69801,1,0,74055
10813,1,0,33174
28412,0,0,86697
43289,0,0,37335
93450,1,0,39601
81981,0,0,86971
17935,0,0,6354
18158,0,0,66208
37335,0,0,90953
39601,0,0,59633
86971,0,-1,95512
4762,0,-1,52708
398,2,0,56485
33790,0,0,43431
91558,0,-1,57639
50861,0,-1,18352
96637,1,0,66980
66337,1,0,98530
75077,1,0,40468
47256,1,0,67862
4620,1,0,10629
66980,0,0,71578
98530,1,0,1366
40468,0,0,38728
44800,0,0,28030
20107,0,0,95154
91764,0,-1,31483
97365,0,0,12496
27452,0,-1,82538
3284,0,0,45283
24388,0,0,74559
94247,0,-1,75186
1881,0,0,52571
46929,0,-1,83568
45002,1,0,15345
75815,1,0,46895
68203,0,0,25115
83621,1,0,49161
95154,1,0,43864
59779,1,0,34606
39417,1,0,76767
25115,0,0,9262
49161,0,0,60815
43864,0,0,71146
34606,0,0,44247
76767,0,0,95761
9262,2,0,80342
60815,0,-1,60328
69578,0,-1,5709
70284,0,-1,21172
39466,0,-1,73734
76214,1,0,62909
7027,1,0,78107
15767,1,0,81158
43185,1,0,8552
84197,0,0,5231
59779,0,0,91764
39417,0,0,61112
84357,1,0,99946
56536,0,0,68190
12606,0,0,96502
30373,0,-1,66867
60559,0,0,15549
30878,1,0,3160
82647,0,-1,57796
69714,0,-1,45687
85468,0,0,80000
97014,0,0,89668
80000,0,-1,82155
3485,1,0,90180
73185,1,0,5378
81925,0,0,35037
69801,1,0,74055
10813,1,0,33174
28412,1,0,98536
43610,0,0,1895
23101,0,0,48933
81981,0,0,86971
17935,0,0,6354
20499,1,0,67194
94493,0,0,14275
48933,0,0,15699
86971,0,-1,95512
4762,0,-1,52708
9882,0,0,73328
32113,0,-1,94759
43400,0,-1,4215
9374,1,0,96069
40187,1,0,11267
48927,1,0,14318
76345,1,0,41712
78470,1,0,831
96069,0,0,84315
11267,1,0,14103
14318,0,0,13105
41712,0,0,19957
12034,0,0,79603
95518,0,-1,91105
41681,0,0,38069
96218,0,-1,39501
99134,0,-1,22098
10498,0,0,56848
68753,0,0,8046
56848,0,0,88833
8046,0,-1,41579
50805,1,0,21148
20505,1,0,52698
29245,1,0,55749
17776,0,0,28666
2529,1,0,73774
6041,0,0,99139
46792,0,0,61112
84357,1,0,99946
28666,1,0,74644
73774,0,0,9755
30373,0,-1,66867
60559,0,0,15549
30878,0,0,21431
87416,0,0,385
72658,0,-1,83055
8922,0,0,18563
66690,0,-1,85381
69565,0,-1,7585
9374,1,0,96069
40187,0,0,1561
60130,1,0,41873
87548,1,0,69267
28560,0,0,73563
2104,1,0,88580
35280,0,0,86263
76982,1,0,92571
49161,0,0,68190
8397,0,-1,44260
38967,0,0,44438
47591,0,0,75767
69370,1,0,47550
3102,0,-1,72871
59321,0,-1,81270
63352,0,0,82840
97014,0,0,89668
82840,0,-1,82155
41178,1,0,27873
27230,0,0,22162
80731,1,0,62474
8149,1,0,89868
49161,1,0,32635
27873,1,0,97997
22162,0,-1,71878
10215,1,0,67105
2845,0,0,46342
99772,0,0,2105
21999,0,0,6968
21289,0,0,55408
46342,0,0,29832
2105,0,-1,84345
25009,0,-1,50674
36543,2,0,68736
78744,2,0,79722
68736,0,0,59681
32528,0,-1,12600
37572,1,0,7915
7272,1,0,39465
16012,1,0,81403
88191,0,0,21013
94876,1,0,66121
98388,1,0,56863
